dist(m),time(s),Acetaldehyde,CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,2.620000000000000000e+02,-3.782486896299004593e-20,-3.782486896299004593e-20,1.891243448149502297e-20,1.891243448149502297e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.630000000000000000e+02,1.203706215242022408e-35,1.203706215242022408e-35,-6.018531076210112041e-36,-3.009265538105056020e-36,0.000000000000000000e+00
0.000000000000000000e+00,2.640000000000000000e+02,-3.803919342155300400e-20,-3.803919342155300400e-20,1.901959671077650200e-20,1.901959671077650200e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.650000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.660000000000000000e+02,-3.825276737069677178e-20,-3.825276737069677178e-20,1.912638368534838589e-20,1.912638368534838589e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.670000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.009265538105056020e-36,3.009265538105056020e-36,0.000000000000000000e+00
0.000000000000000000e+00,2.680000000000000000e+02,-3.846559699786327052e-20,-3.846559699786327052e-20,1.923279849893163526e-20,1.923279849893163526e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.690000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.009265538105056020e-36,-3.009265538105056020e-36,0.000000000000000000e+00
0.000000000000000000e+00,2.700000000000000000e+02,-3.867768842524796540e-20,-3.867768842524796540e-20,1.933884421262398270e-20,1.933884421262398270e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.710000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.009265538105056020e-36,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.720000000000000000e+02,-3.888904771028306334e-20,-3.888904771028306334e-20,1.944452385514153167e-20,1.944452385514153167e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.730000000000000000e+02,6.018531076210112041e-36,6.018531076210112041e-36,-3.009265538105056020e-36,-3.009265538105056020e-36,0.000000000000000000e+00
0.000000000000000000e+00,2.740000000000000000e+02,-3.909968084613743625e-20,-3.909968084613743625e-20,1.954984042306871812e-20,1.954984042306871812e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.750000000000000000e+02,1.203706215242022408e-35,1.203706215242022408e-35,-3.009265538105056020e-36,-6.018531076210112041e-36,0.000000000000000000e+00
0.000000000000000000e+00,2.760000000000000000e+02,-3.930959376223153041e-20,-3.930959376223153041e-20,1.965479688111576521e-20,1.965479688111576521e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.770000000000000000e+02,6.018531076210112041e-36,6.018531076210112041e-36,0.000000000000000000e+00,-3.009265538105056020e-36,0.000000000000000000e+00
0.000000000000000000e+00,2.780000000000000000e+02,-3.951879232476565514e-20,-3.951879232476565514e-20,1.975939616238282757e-20,1.975939616238282757e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.790000000000000000e+02,-6.018531076210112041e-36,-6.018531076210112041e-36,0.000000000000000000e+00,3.009265538105056020e-36,0.000000000000000000e+00
0.000000000000000000e+00,2.800000000000000000e+02,-3.972728233726042274e-20,-3.972728233726042274e-20,1.986364116863021137e-20,1.986364116863021137e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.810000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.009265538105056020e-36,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.820000000000000000e+02,-3.993506954110786542e-20,-3.993506954110786542e-20,1.996753477055393271e-20,1.996753477055393271e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.830000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,6.018531076210112041e-36,-3.009265538105056020e-36,0.000000000000000000e+00
0.000000000000000000e+00,2.840000000000000000e+02,-4.014215961613196519e-20,-4.014215961613196519e-20,2.007107980806598259e-20,2.007107980806598259e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.850000000000000000e+02,-1.203706215242022408e-35,-1.203706215242022408e-35,6.018531076210112041e-36,3.009265538105056020e-36,0.000000000000000000e+00
0.000000000000000000e+00,2.860000000000000000e+02,-4.034855818115754343e-20,-4.034855818115754343e-20,2.017427909057877172e-20,2.017427909057877172e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.870000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.009265538105056020e-36,0.000000000000000000e+00
0.000000000000000000e+00,2.880000000000000000e+02,-4.055427079458646907e-20,-4.055427079458646907e-20,2.027713539729323454e-20,2.027713539729323454e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.890000000000000000e+02,-6.018531076210112041e-36,-6.018531076210112041e-36,3.009265538105056020e-36,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.900000000000000000e+02,-4.075930295497979498e-20,-4.075930295497979498e-20,2.037965147748989749e-20,2.037965147748989749e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.910000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.920000000000000000e+02,-4.096366010164552769e-20,-4.096366010164552769e-20,2.048183005082276385e-20,2.048183005082276385e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.930000000000000000e+02,-6.018531076210112041e-36,-6.018531076210112041e-36,9.027796614315168061e-36,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.940000000000000000e+02,-4.116734761523052590e-20,-4.116734761523052590e-20,2.058367380761526295e-20,2.058367380761526295e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.950000000000000000e+02,-6.018531076210112041e-36,-6.018531076210112041e-36,0.000000000000000000e+00,3.009265538105056020e-36,0.000000000000000000e+00
0.000000000000000000e+00,2.960000000000000000e+02,-4.137037081831605215e-20,-4.137037081831605215e-20,2.068518540915802608e-20,2.068518540915802608e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.970000000000000000e+02,-6.018531076210112041e-36,-6.018531076210112041e-36,0.000000000000000000e+00,6.018531076210112041e-36,0.000000000000000000e+00
0.000000000000000000e+00,2.980000000000000000e+02,-4.157273497601620739e-20,-4.157273497601620739e-20,2.078636748800810370e-20,2.078636748800810370e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.990000000000000000e+02,-6.018531076210112041e-36,-6.018531076210112041e-36,6.018531076210112041e-36,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+02,-4.177444529657838782e-20,-4.177444529657838782e-20,2.088722264828919391e-20,2.088722264828919391e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.010000000000000000e+02,6.018531076210112041e-36,6.018531076210112041e-36,-3.009265538105056020e-36,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.020000000000000000e+02,-4.197550693198523428e-20,-4.197550693198523428e-20,2.098775346599261714e-20,2.098775346599261714e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.030000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.040000000000000000e+02,-4.217592497855729184e-20,-4.217592497855729184e-20,2.108796248927864592e-20,2.108796248927864592e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.060000000000000000e+02,-4.237570447755619903e-20,-4.237570447755619903e-20,2.118785223877809951e-20,2.118785223877809951e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.070000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.009265538105056020e-36,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.080000000000000000e+02,-4.257485041578725110e-20,-4.257485041578725110e-20,2.128742520789362555e-20,2.128742520789362555e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.090000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.009265538105056020e-36,-3.009265538105056020e-36,0.000000000000000000e+00
0.000000000000000000e+00,3.100000000000000000e+02,-4.277336772620162031e-20,-4.277336772620162031e-20,2.138668386310081016e-20,2.138668386310081016e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.110000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.120000000000000000e+02,-4.297126128849695115e-20,-4.297126128849695115e-20,2.148563064424847557e-20,2.148563064424847557e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.130000000000000000e+02,6.018531076210112041e-36,6.018531076210112041e-36,-6.018531076210112041e-36,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.140000000000000000e+02,-4.316853592971663145e-20,-4.316853592971663145e-20,2.158426796485831572e-20,2.158426796485831572e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.150000000000000000e+02,-6.018531076210112041e-36,-6.018531076210112041e-36,3.009265538105056020e-36,3.009265538105056020e-36,0.000000000000000000e+00
