dist(m),time(s),CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,2.260000000000000000e+02,9.328546361664542775e-14,-9.328546361622354493e-14,-4.218841101047201955e-25,0.000000000000000000e+00
0.000000000000000000e+00,2.270000000000000000e+02,3.896177982633220882e-14,-3.896177982607940099e-14,-2.528058831273476523e-25,0.000000000000000000e+00
0.000000000000000000e+00,2.280000000000000000e+02,1.468901075816559221e-14,-1.468901075815959056e-14,-6.004144138784296341e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.290000000000000000e+02,4.949881255480639984e-15,-4.949881255470167066e-15,-1.047330176925692812e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.300000000000000000e+02,1.475044435122569059e-15,-1.475044435127938046e-15,5.368964883850354236e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.310000000000000000e+02,3.842253296040098080e-16,-3.842253368834838885e-16,7.279474088902427338e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.320000000000000000e+02,8.638998569614794409e-17,-8.638998560150093038e-17,-9.464701499437653328e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.330000000000000000e+02,1.654401851134314359e-17,-1.654401850929665351e-17,-2.046491708439887451e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.340000000000000000e+02,2.658558046824254151e-18,-2.658557990043890849e-18,-5.678036319377413629e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.350000000000000000e+02,3.522336236470981021e-19,-3.522338199549559771e-19,1.963078578629506268e-25,0.000000000000000000e+00
0.000000000000000000e+00,2.360000000000000000e+02,3.537170157311850928e-20,-3.537123019648860764e-20,-4.713766298956177199e-25,0.000000000000000000e+00
0.000000000000000000e+00,2.370000000000000000e+02,2.778800258545577480e-21,-2.778586926254752118e-21,-2.133322908238568198e-25,0.000000000000000000e+00
0.000000000000000000e+00,2.380000000000000000e+02,1.876006769178926682e-22,-1.899949296997502873e-22,2.394252781858324454e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.390000000000000000e+02,2.147434184524863865e-24,1.335519509482209684e-25,-2.280986135476042074e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+02,2.558412753971421750e-24,1.847063222790247276e-26,-2.576883386198440191e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.410000000000000000e+02,2.438781452596295737e-24,1.677248002974769713e-27,-2.440458700598195894e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.420000000000000000e+02,2.252718837682774825e-24,-6.035931679151784503e-28,-2.252115244515504653e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.430000000000000000e+02,2.034355122581662428e-24,-8.765948869735621320e-28,-2.033478527695235930e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.440000000000000000e+02,1.803582039055940760e-24,-8.879898961832342627e-28,-1.802694049158238521e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.450000000000000000e+02,1.574150050852957426e-24,-8.659448883080150783e-28,-1.573284105961900338e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.460000000000000000e+02,1.270071552264516276e-24,-8.025639386420735787e-28,-1.269268988325611231e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.470000000000000000e+02,1.004208297990128448e-24,-7.290369052571447683e-28,-1.003479261085193440e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.480000000000000000e+02,5.040335965632261827e-25,-5.676583713381470353e-28,-5.034659381913044900e-25,0.000000000000000000e+00
0.000000000000000000e+00,2.490000000000000000e+02,3.878371993508761649e-25,-4.989997218151251127e-28,-3.873381996291554926e-25,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+02,2.983563991742555245e-25,-4.418038534838195613e-28,-2.979145953228002133e-25,0.000000000000000000e+00
0.000000000000000000e+00,2.510000000000000000e+02,2.294275583775367805e-25,-3.902888689770489567e-28,-2.290372695108825267e-25,0.000000000000000000e+00
0.000000000000000000e+00,2.520000000000000000e+02,1.763683818031275046e-25,-3.438085957178234741e-28,-1.760245732093804709e-25,0.000000000000000000e+00
0.000000000000000000e+00,2.530000000000000000e+02,1.355647001202326581e-25,-3.020136187663969105e-28,-1.352626865053576985e-25,0.000000000000000000e+00
0.000000000000000000e+00,2.540000000000000000e+02,1.041942583628900118e-25,-2.645699690621158700e-28,-1.039296883891043372e-25,0.000000000000000000e+00
0.000000000000000000e+00,2.550000000000000000e+02,8.009688192666351870e-26,-2.311465244671616334e-28,-7.986573540178268408e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.560000000000000000e+02,6.157569671685124136e-26,-2.014191522144280919e-28,-6.137427756464484887e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.570000000000000000e+02,4.735909697931624819e-26,-1.750719485460279000e-28,-4.718402503023155919e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.580000000000000000e+02,3.644035489592392088e-26,-1.518001640588654252e-28,-3.628855472872924061e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.590000000000000000e+02,2.804934263063247155e-26,-1.313132638082851452e-28,-2.791802936266527821e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.600000000000000000e+02,2.159987825342627749e-26,-1.133358232655954939e-28,-2.148654242806168989e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.610000000000000000e+02,1.664938185336040557e-26,-9.760906360130209905e-29,-1.655177279275422634e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.620000000000000000e+02,1.284304544753384446e-26,-8.389203493413973515e-29,-1.275915341369645014e-26,0.000000000000000000e+00
0.000000000000000000e+00,2.630000000000000000e+02,9.905791597644455977e-27,-7.196168492617272873e-29,-9.833829917403500674e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.640000000000000000e+02,7.653029445857417194e-27,-6.161380963907331249e-29,-7.591415636744377603e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.650000000000000000e+02,5.917828045259461176e-27,-5.266081639572127773e-29,-5.865167234456521615e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.660000000000000000e+02,4.577497437079670898e-27,-4.493460972403280388e-29,-4.532562825267849925e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.670000000000000000e+02,8.631413359019019644e-27,-4.329880129582065520e-29,-8.588114559879588275e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.680000000000000000e+02,3.496037656997966365e-27,-3.344833800782712023e-29,-3.462589321467126247e-27,0.000000000000000000e+00
0.000000000000000000e+00,2.690000000000000000e+02,3.273423535614473654e-26,-6.690986975524799118e-29,-3.266732548644440618e-26,0.000000000000000000e+00
