dist(m), time(s),Acetaldehyde
0.000000000000000000e+00,1.570000000000000000e+02,1.145330777891774698e-10
0.000000000000000000e+00,1.580000000000000000e+02,1.140441627893117540e-10
0.000000000000000000e+00,1.590000000000000000e+02,1.135404325094309872e-10
0.000000000000000000e+00,1.600000000000000000e+02,1.130212233086702289e-10
0.000000000000000000e+00,1.610000000000000000e+02,1.124858310615848193e-10
0.000000000000000000e+00,1.620000000000000000e+02,1.119335115946415557e-10
0.000000000000000000e+00,1.630000000000000000e+02,1.113634775748645869e-10
0.000000000000000000e+00,1.640000000000000000e+02,1.107748943581637028e-10
0.000000000000000000e+00,1.650000000000000000e+02,1.101668767094128268e-10
0.000000000000000000e+00,1.660000000000000000e+02,1.095385122178403645e-10
0.000000000000000000e+00,1.670000000000000000e+02,1.088888613130408353e-10
0.000000000000000000e+00,1.680000000000000000e+02,1.082167751313066327e-10
0.000000000000000000e+00,1.690000000000000000e+02,1.075211283827432540e-10
0.000000000000000000e+00,1.700000000000000000e+02,1.068007225238330598e-10
0.000000000000000000e+00,1.710000000000000000e+02,1.060542875757460998e-10
0.000000000000000000e+00,1.720000000000000000e+02,1.052804719108163057e-10
0.000000000000000000e+00,1.730000000000000000e+02,1.044778364921971655e-10
0.000000000000000000e+00,1.740000000000000000e+02,1.036448487055589908e-10
0.000000000000000000e+00,1.750000000000000000e+02,1.027798757654756321e-10
0.000000000000000000e+00,1.760000000000000000e+02,1.018811776716402478e-10
0.000000000000000000e+00,1.770000000000000000e+02,1.009468996516318817e-10
0.000000000000000000e+00,1.780000000000000000e+02,9.997506234134327182e-11
0.000000000000000000e+00,1.790000000000000000e+02,9.896355335123910144e-11
0.000000000000000000e+00,1.800000000000000000e+02,9.791012718891072315e-11
0.000000000000000000e+00,1.810000000000000000e+02,9.681239238972699618e-11
0.000000000000000000e+00,1.820000000000000000e+02,9.566779642665328313e-11
0.000000000000000000e+00,1.830000000000000000e+02,9.447362160444117915e-11
0.000000000000000000e+00,1.840000000000000000e+02,9.322697649278072330e-11
0.000000000000000000e+00,1.850000000000000000e+02,9.192478645326769269e-11
0.000000000000000000e+00,1.860000000000000000e+02,9.056378368988309499e-11
0.000000000000000000e+00,1.870000000000000000e+02,8.914050290345416865e-11
0.000000000000000000e+00,1.880000000000000000e+02,8.765128050411558703e-11
0.000000000000000000e+00,1.890000000000000000e+02,8.609225000174802976e-11
0.000000000000000000e+00,1.900000000000000000e+02,8.445933714974773439e-11
0.000000000000000000e+00,1.910000000000000000e+02,8.274828026513456120e-11
0.000000000000000000e+00,1.920000000000000000e+02,8.095464565937664851e-11
0.000000000000000000e+00,1.930000000000000000e+02,7.907382898411402052e-11
0.000000000000000000e+00,1.940000000000000000e+02,7.710110186174513607e-11
0.000000000000000000e+00,1.950000000000000000e+02,7.503166025799301913e-11
0.000000000000000000e+00,1.960000000000000000e+02,7.286069228988056634e-11
0.000000000000000000e+00,1.970000000000000000e+02,7.058346934758576147e-11
