Distance (m),time(s),T_gas (K),T_surf (K),P (atm),Acetaldehyde,CeCation(S),Acetaldehyde1-Ce(S),Acetaldehyde2-Ce(S),OAnion(S)
0.0,37.0,300.0,174.0,9.999999999999998e-21,1.0,9.790386984079151e-08,0.24999999999999994,0.24999990209613038,0.4999999999999999
0.0,38.0,300.0,176.0,9.999999999999998e-21,1.0,1.6708858233067008e-07,0.24999999999999997,0.24999983291141792,0.49999999999999994
0.0,39.0,300.0,178.0,9.999999999999998e-21,1.0,2.8184098938520277e-07,0.24999999999999994,0.2499997181590108,0.4999999999999999
0.0,40.0,300.0,180.0,9.999999999999998e-21,1.0,4.700454329270621e-07,0.24999999999999994,0.24999952995456723,0.4999999999999999
0.0,41.0,300.0,182.0,9.999999999999998e-21,1.0,7.753794634087183e-07,0.24999999999999994,0.24999922462053675,0.4999999999999999
0.0,42.0,300.0,184.0,9.999999999999998e-21,1.0,1.2655551808586926e-06,0.24999999999999994,0.2499987344448193,0.4999999999999999
0.0,43.0,300.0,186.0,9.999999999999998e-21,1.0,2.044499563447105e-06,0.24999999999999994,0.2499979555004367,0.4999999999999999
0.0,44.0,300.0,188.0,9.999999999999998e-21,1.0,3.270187578900317e-06,0.24999999999999994,0.2499967298124213,0.4999999999999999
0.0,45.0,300.0,190.0,9.999999999999998e-21,1.0,5.180510467709716e-06,0.24999999999999994,0.24999481948953256,0.4999999999999999
0.0,46.0,300.0,192.0,9.999999999999998e-21,1.0,8.130466338353518e-06,0.24999999999999992,0.24999186953366198,0.49999999999999983
0.0,47.0,300.0,194.0,9.999999999999998e-21,1.0,1.2645166424676715e-05,0.2499999999999998,0.2499873548335757,0.4999999999999997
0.0,48.0,300.0,196.0,9.999999999999998e-21,1.0,1.9494746555473437e-05,0.24999999999999964,0.24998050525344512,0.4999999999999997
0.0,49.0,300.0,198.0,9.999999999999998e-21,1.0,2.979936320957133e-05,0.2499999999999995,0.2499702006367913,0.4999999999999998
0.0,50.0,300.0,200.0,9.999999999999998e-21,1.0,4.5175174978048585e-05,0.24999999999999897,0.24995482482502335,0.4999999999999998
0.0,51.0,300.0,202.0,9.999999999999998e-21,1.0,6.79356664002721e-05,0.24999999999999795,0.24993206433360213,0.49999999999999967
0.0,52.0,300.0,204.0,9.999999999999998e-21,1.0,0.00010136709487268865,0.24999999999999614,0.24989863290513162,0.4999999999999997
0.0,53.0,300.0,206.0,9.999999999999998e-21,1.0,0.0001501022944309485,0.2499999999999927,0.2498498977055768,0.4999999999999996
0.0,54.0,300.0,208.0,9.999999999999998e-21,1.0,0.0002206237317388386,0.24999999999998637,0.24977937626827534,0.4999999999999997
0.0,55.0,300.0,210.0,9.999999999999998e-21,1.0,0.00032193456480743987,0.24999999999997496,0.24967806543521798,0.4999999999999995
0.0,56.0,300.0,212.0,9.999999999999998e-21,1.0,0.0004664453011425866,0.24999999999995492,0.249533554698903,0.49999999999999967
0.0,57.0,300.0,214.0,9.999999999999998e-21,1.0,0.0006711328739053514,0.2499999999999197,0.24932886712617552,0.4999999999999997
0.0,58.0,300.0,216.0,9.999999999999998e-21,1.0,0.0009590371966993795,0.24999999999985842,0.24904096280344257,0.4999999999999995
0.0,59.0,300.0,218.0,9.999999999999998e-21,1.0,0.001361164845320566,0.2499999999997533,0.24863883515492657,0.4999999999999996
0.0,60.0,300.0,220.0,9.999999999999998e-21,1.0,0.0019188658224227157,0.24999999999957428,0.24808113417800348,0.4999999999999997
0.0,61.0,300.0,222.0,9.999999999999998e-21,1.0,0.002686729697638452,0.24999999999927244,0.24731327030308944,0.49999999999999956
0.0,62.0,300.0,224.0,9.999999999999998e-21,1.0,0.003735997434219686,0.2499999999987685,0.2462640025670122,0.4999999999999997
0.0,63.0,300.0,226.0,9.999999999999998e-21,1.0,0.005158397020521938,0.24999999999793462,0.2448416029815438,0.4999999999999996
0.0,64.0,300.0,228.0,9.999999999999998e-21,1.0,0.007070139010665458,0.249999999996567,0.2429298609927679,0.49999999999999967
0.0,65.0,300.0,230.0,9.999999999999998e-21,1.0,0.009615541395900434,0.2499999999943435,0.2403844586097565,0.49999999999999967
