dist(m),time(s),Acetaldehyde,CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,1.290000000000000000e+02,1.948313058095111884e-13,1.948313058095111884e-13,-1.948313058095112894e-13,1.052630989143268253e-28,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+02,2.854685931103263895e-14,2.854685931103263895e-14,-2.854685931103265157e-14,1.368970715159721832e-29,0.000000000000000000e+00
0.000000000000000000e+00,1.310000000000000000e+02,2.899024972424902229e-15,2.899024972424902229e-15,-2.899024972424903412e-15,1.235613457742550317e-30,0.000000000000000000e+00
0.000000000000000000e+00,1.320000000000000000e+02,1.924129830961826498e-16,1.924129830961826498e-16,-1.924129830961827238e-16,7.297318466627855597e-32,0.000000000000000000e+00
0.000000000000000000e+00,1.330000000000000000e+02,7.798490183226389016e-18,7.798490183226389016e-18,-7.798490183226393638e-18,3.439590510054079031e-33,0.000000000000000000e+00
0.000000000000000000e+00,1.340000000000000000e+02,1.773411756971731612e-19,1.773411756971731612e-19,-1.773411756971733057e-19,1.504632769052528010e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.350000000000000000e+02,2.697642910110573815e-21,2.697642910110573815e-21,-2.697642910108702052e-21,-1.873267797470397373e-33,0.000000000000000000e+00
0.000000000000000000e+00,1.360000000000000000e+02,-1.160379517211864544e-20,-1.160379517211864544e-20,3.573273222845597026e-22,1.124646784983408574e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.370000000000000000e+02,5.105375107015489876e-23,5.105375107015489876e-23,-5.105375107062434418e-23,4.694454239443887392e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.380000000000000000e+02,-1.134306454010452330e-20,-1.134306454010452330e-20,-4.175388039556954751e-23,1.138481842050009285e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.390000000000000000e+02,2.638799708002210880e-23,2.638799708002210880e-23,-2.638799708021771106e-23,1.956022599768286413e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+02,-1.150335235137852491e-20,-1.150335235137852491e-20,-1.919758544794078796e-23,1.152254993682646569e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.410000000000000000e+02,1.982822251330368152e-23,1.982822251330368152e-23,-1.982822251348122819e-23,1.775466667481983052e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.420000000000000000e+02,-1.165173765586615422e-20,-1.165173765586615422e-20,-7.928028536811824040e-24,1.165966568440296605e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.430000000000000000e+02,1.112269653656039567e-23,1.112269653656039567e-23,-1.112269653670032652e-23,1.399308475218851049e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.440000000000000000e+02,-1.178999485403271536e-20,-1.178999485403271536e-20,-6.174230022452806414e-24,1.179616908405516816e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.450000000000000000e+02,5.602705371451605353e-24,5.602705371451605353e-24,-5.602705371564452811e-24,1.128474576789396008e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.460000000000000000e+02,-1.192672273109120006e-20,-1.192672273109120006e-20,-5.340947751004751697e-24,1.193206367884220481e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.470000000000000000e+02,2.406974521455762367e-24,2.406974521455762367e-24,-2.406974521537012537e-24,8.275480229788904056e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.480000000000000000e+02,-1.206390423456590686e-20,-1.206390423456590686e-20,-3.448887408075477322e-24,1.206735312197398234e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.490000000000000000e+02,9.699366022084731711e-25,9.699366022084731711e-25,-9.699366022746770129e-25,6.770847460736376046e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+02,-1.220044844273064408e-20,-1.220044844273064408e-20,-1.592722860291432958e-24,1.220204116559093552e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.510000000000000000e+02,3.704494552789104795e-25,3.704494552789104795e-25,-3.704494553330772592e-25,5.266214691683848036e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.520000000000000000e+02,-1.233544030182297139e-20,-1.233544030182297139e-20,-6.913485211958310974e-25,1.233613165034416722e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.530000000000000000e+02,8.140408163259053554e-25,8.140408163259053554e-25,-8.140408164553037735e-25,1.309030509075699369e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.540000000000000000e+02,-1.246933885501053866e-20,-1.246933885501053866e-20,-2.896407092830274086e-25,1.246962849571982169e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.550000000000000000e+02,8.986095516011661336e-25,8.986095516011661336e-25,-8.986095518614676026e-25,2.603014690460873458e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.560000000000000000e+02,-1.260241887458777257e-20,-1.260241887458777257e-20,-1.168164675032358918e-25,1.260253569105527581e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.570000000000000000e+02,4.687448608423829641e-25,4.687448608423829641e-25,-4.687448609522211562e-25,1.113428249098870728e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.580000000000000000e+02,-1.273481134149294414e-20,-1.273481134149294414e-20,-4.594570598096415061e-26,1.273485728719892510e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.590000000000000000e+02,2.276804900436136010e-25,2.276804900436136010e-25,-2.276804900857433185e-25,4.363435030252331230e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+02,-1.286640425911905434e-20,-1.286640425911905434e-20,-1.931296496026699110e-25,1.286659738876865701e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.610000000000000000e+02,1.097778894566793954e-25,1.097778894566793954e-25,-1.097778894942952146e-25,3.761581922631320025e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.620000000000000000e+02,-1.299751654391183580e-20,-1.299751654391183580e-20,-2.436030555546583226e-25,1.299776014696739046e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.630000000000000000e+02,5.260630162601147957e-26,5.260630162601147957e-26,-5.260630168920605587e-26,6.168994353115364842e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.640000000000000000e+02,-1.312822457878731944e-20,-1.312822457878731944e-20,-1.251741297938498795e-25,1.312834975291711329e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.650000000000000000e+02,2.506935983117227496e-26,2.506935983117227496e-26,-2.506935986577882865e-26,3.460655368820814423e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.660000000000000000e+02,-1.325830686722702864e-20,-1.325830686722702864e-20,-6.356424853067243169e-26,1.325837043147555931e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.670000000000000000e+02,1.197071434430930437e-26,1.197071434430930437e-26,-1.197071436236489759e-26,1.956022599768286413e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.680000000000000000e+02,-1.338779447257799112e-20,-1.338779447257799112e-20,-3.196292433707867652e-26,1.338782643550232820e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.690000000000000000e+02,5.700880312504468846e-27,5.700880312504468846e-27,-5.700880354634186380e-27,4.212971753347078429e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+02,-1.351670608534655399e-20,-1.351670608534655399e-20,-1.595519690922287014e-26,1.351672204054346322e-20,0.000000000000000000e+00
0.000000000000000000e+00,1.710000000000000000e+02,2.708178963590296144e-27,2.708178963590296144e-27,-2.708178990673685987e-27,2.708338984294550418e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.720000000000000000e+02,-1.364505768470357987e-20,-1.364505768470357987e-20,-3.855202337183690216e-27,1.364506153990591705e-20,0.000000000000000000e+00
