x_values, observed, sim_initial_guess, sim_MAP, sim_mu_AP
1.385999999999999943e+01,6.324800000000000214e-03,6.571393443994182591e-03,6.571393443994182591e-03,6.590950733633016249e-03
1.424499999999999922e+01,6.446999999999999606e-03,6.844804083180350100e-03,6.844804083180350100e-03,6.864575461635969399e-03
1.463000000000000078e+01,6.586399999999999200e-03,7.128430706420291023e-03,7.128430706420291023e-03,7.148403041219085659e-03
1.501500000000000057e+01,6.752900000000000048e-03,7.422693337922748984e-03,7.422693337922748984e-03,7.442851396309404892e-03
1.540000000000000036e+01,6.949299999999999401e-03,7.728026106289908985e-03,7.728026106289908985e-03,7.748352323946299490e-03
1.578500000000000014e+01,7.181199999999999563e-03,8.044876798778553134e-03,8.044876798778553134e-03,8.065351018971926578e-03
1.617000000000000171e+01,7.450599999999999931e-03,8.373706139419914707e-03,8.373706139419914707e-03,8.394305335465142986e-03
1.655499999999999972e+01,7.761100000000000811e-03,8.714986819166246207e-03,8.714986819166246207e-03,8.735684792954154232e-03
1.694000000000000128e+01,8.113500000000000920e-03,9.069202070503400159e-03,9.069202070503400159e-03,9.089969166291071018e-03
1.732499999999999929e+01,8.505099999999999813e-03,9.436843764068079954e-03,9.436843764068079954e-03,9.457646568137152016e-03
1.771000000000000085e+01,8.938500000000000265e-03,9.818410851169294407e-03,9.818410851169294407e-03,9.839211748824037984e-03
1.809499999999999886e+01,9.411799999999999680e-03,1.021440660738708733e-02,1.021440660738708733e-02,1.023516336633153306e-02
1.848000000000000043e+01,9.917299999999998686e-03,1.062533549208554209e-02,1.062533549208554209e-02,1.064600080548686392e-02
1.886499999999999844e+01,1.045289999999999934e-02,1.105169926871429203e-02,1.105169926871429203e-02,1.107221923989545193e-02
1.925000000000000000e+01,1.101489999999999934e-02,1.149399006511425333e-02,1.149399006511425333e-02,1.151430507372260340e-02
1.963500000000000156e+01,1.160439999999999909e-02,1.195268700835636771e-02,1.195268700835636771e-02,1.197273106633582607e-02
2.001999999999999957e+01,1.222339999999999885e-02,1.242824891934581760e-02,1.242824891934581760e-02,1.244794892534049208e-02
2.040500000000000114e+01,1.286760000000000161e-02,1.292110633113315032e-02,1.292110633113315032e-02,1.294038087682004845e-02
2.078999999999999915e+01,1.352640000000000092e-02,1.343165212060927136e-02,1.343165212060927136e-02,1.345041189341300569e-02
2.117500000000000071e+01,1.419779999999999827e-02,1.396023078480246316e-02,1.396023078480246316e-02,1.397837863008232970e-02
2.155999999999999872e+01,1.488210000000000054e-02,1.450712606979445360e-02,1.450712606979445360e-02,1.452455464312302907e-02
2.194500000000000028e+01,1.557779999999999929e-02,1.507254681868559765e-02,1.507254681868559765e-02,1.508913881597750972e-02
2.232999999999999829e+01,1.627680000000000099e-02,1.565661095772323541e-02,1.565661095772323541e-02,1.567223869445444687e-02
2.271499999999999986e+01,1.697529999999999872e-02,1.625932747989167898e-02,1.625932747989167898e-02,1.627385260850883544e-02
2.310000000000000142e+01,1.767440000000000330e-02,1.688057636718864191e-02,1.688057636718864191e-02,1.689384955868402510e-02
2.348499999999999943e+01,1.838140000000000260e-02,1.752008638082459477e-02,1.752008638082459477e-02,1.753194734687001100e-02
2.387000000000000099e+01,1.908899999999999833e-02,1.817741078438413205e-02,1.817741078438413205e-02,1.818768855240793236e-02
2.425499999999999901e+01,1.979740000000000319e-02,1.885190192249950117e-02,1.885190192249950117e-02,1.886041476289638738e-02
2.464000000000000057e+01,2.049399999999999833e-02,1.954268295252338528e-02,1.954268295252338528e-02,1.954923921994849295e-02
2.502499999999999858e+01,2.117930000000000160e-02,2.024861898159660556e-02,2.024861898159660556e-02,2.025301842639280064e-02
2.541000000000000014e+01,2.184429999999999705e-02,2.096828821335801341e-02,2.096828821335801341e-02,2.097032392228375189e-02
2.579500000000000171e+01,2.248750000000000054e-02,2.169995301677421842e-02,2.169995301677421842e-02,2.169941290510761164e-02
2.617999999999999972e+01,2.311340000000000269e-02,2.244153205568241369e-02,2.244153205568241369e-02,2.243820145102059377e-02
2.656500000000000128e+01,2.372370000000000034e-02,2.313851544580934269e-02,2.313851544580934269e-02,2.312818399373862618e-02
2.694999999999999929e+01,2.431179999999999800e-02,2.378910680843064618e-02,2.378910680843064618e-02,2.377579268689664072e-02
2.733500000000000085e+01,2.488240000000000243e-02,2.443444845633242074e-02,2.443444845633242074e-02,2.441802522572344286e-02
2.771999999999999886e+01,2.542310000000000056e-02,2.507137828901430734e-02,2.507137828901430734e-02,2.505173707675155056e-02
2.810500000000000043e+01,2.593200000000000019e-02,2.569650870095183809e-02,2.569650870095183809e-02,2.567356207446707533e-02
2.848999999999999844e+01,2.641390000000000057e-02,2.630625353613973497e-02,2.630625353613973497e-02,2.627993992514810612e-02
2.887500000000000000e+01,2.687230000000000174e-02,2.689686612714570213e-02,2.689686612714570213e-02,2.686715318096211461e-02
2.926000000000000156e+01,2.730330000000000257e-02,2.746448499583370798e-02,2.746448499583370798e-02,2.743137327906252851e-02
2.964499999999999957e+01,2.770109999999999587e-02,2.800518867116730953e-02,2.800518867116730953e-02,2.796871487289800257e-02
3.003000000000000114e+01,2.806780000000000039e-02,2.851505890541426030e-02,2.851505890541426030e-02,2.847529832503725711e-02
3.041499999999999915e+01,2.840350000000000166e-02,2.899025072203209596e-02,2.899025072203209596e-02,2.894731879621554455e-02
3.080000000000000071e+01,2.871240000000000250e-02,2.942706724788211534e-02,2.942706724788211534e-02,2.938112009229617433e-02
3.118499999999999872e+01,2.897200000000000122e-02,2.982203787697295869e-02,2.982203787697295869e-02,2.977327318221837174e-02
3.157000000000000028e+01,2.918799999999999867e-02,3.017199537659121314e-02,3.017199537659121314e-02,3.012064992683506290e-02
3.195499999999999829e+01,2.936000000000000068e-02,3.047414969561540801e-02,3.047414969561540801e-02,3.042049647879980709e-02
3.234000000000000341e+01,2.948759999999999923e-02,3.072615602626970963e-02,3.072615602626970963e-02,3.067050048284824734e-02
3.272500000000000142e+01,2.957809999999999953e-02,3.092617239360713824e-02,3.092617239360713824e-02,3.086884763116682848e-02
3.310999999999999943e+01,2.963199999999999862e-02,3.107290677205995152e-02,3.107290677205995152e-02,3.101426632676252196e-02
3.349499999999999744e+01,2.965169999999999959e-02,3.116564507546719029e-02,3.116564507546719029e-02,3.110605782972622121e-02
3.388000000000000256e+01,2.963239999999999971e-02,3.120426831628273986e-02,3.120426831628273986e-02,3.114411077277147791e-02
3.426500000000000057e+01,2.956080000000000166e-02,3.118924969992648358e-02,3.118924969992648358e-02,3.112889874963542872e-02
3.464999999999999858e+01,2.944820000000000423e-02,3.112163605512617906e-02,3.112163605512617906e-02,3.106146172643445627e-02
3.503499999999999659e+01,2.928859999999999797e-02,3.081435189270321021e-02,3.081435189270321021e-02,3.075362487116173674e-02
3.542000000000000171e+01,2.908459999999999865e-02,3.017508742247066236e-02,3.017508742247066236e-02,3.011790656134665997e-02
3.580499999999999972e+01,2.884359999999999702e-02,2.954047444018667243e-02,2.954047444018667243e-02,2.948673690502819078e-02
3.618999999999999773e+01,2.855690000000000311e-02,2.891216590155984423e-02,2.891216590155984423e-02,2.886175827967345231e-02
