Distance (m),time(s),T_gas (K),T_surf (K),P (atm),Acetaldehyde,CeCation(S),Acetaldehyde1-Ce(S),Acetaldehyde2-Ce(S),OAnion(S)
0.0,179.0,300.0,458.0,9.999999999999998e-21,1.0,0.909656876448298,0.09034312354880021,2.9018724443581575e-12,0.0
0.0,180.0,300.0,460.0,9.999999999999998e-21,1.0,0.9133431370037991,0.08665686299338571,2.81500261757643e-12,0.0
0.0,181.0,300.0,462.0,9.999999999999998e-21,1.0,0.9169903731815743,0.08300962681569701,2.7287073067811928e-12,0.0
0.0,182.0,300.0,464.0,9.999999999999998e-21,1.0,0.9205969076036232,0.07940309239373394,2.643000748657015e-12,0.0
0.0,183.0,300.0,466.0,9.999999999999998e-21,1.0,0.9241609633621506,0.07583903663529142,2.557899378376146e-12,0.0
0.0,184.0,300.0,468.0,9.999999999999998e-21,1.0,0.9276806574821163,0.07231934251541045,2.473421858360641e-12,0.0
0.0,185.0,300.0,470.0,9.999999999999998e-21,1.0,0.9311539944557232,0.06884600554188722,2.389588591155443e-12,0.0
0.0,186.0,300.0,472.0,9.999999999999998e-21,1.0,0.9345788594945701,0.06542114050312355,2.3064211822433654e-12,0.0
0.0,187.0,300.0,474.0,9.999999999999998e-21,1.0,0.9379530085403125,0.062046991457463604,2.223945649859783e-12,0.0
0.0,188.0,300.0,476.0,9.999999999999998e-21,1.0,0.9412740614448413,0.05872593855301647,2.1421907802914698e-12,0.0
0.0,189.0,300.0,478.0,9.999999999999998e-21,1.0,0.9445394937644753,0.0554605062334635,2.061188297218783e-12,0.0
0.0,190.0,300.0,480.0,9.999999999999998e-21,1.0,0.9477466323187512,0.052253367679267894,1.980967665167748e-12,0.0
0.0,191.0,300.0,482.0,9.999999999999998e-21,1.0,0.9508926343761278,0.04910736562197067,1.9015756460601468e-12,0.0
0.0,192.0,300.0,484.0,9.999999999999998e-21,1.0,0.9539744941336197,0.04602550586455745,1.823051633404089e-12,0.0
0.0,193.0,300.0,486.0,9.999999999999998e-21,1.0,0.9569890292468276,0.043010970751427006,1.7454395383434835e-12,0.0
0.0,194.0,300.0,488.0,9.999999999999998e-21,1.0,0.9599328742425329,0.04006712575579818,1.6687875160954637e-12,0.0
0.0,195.0,300.0,490.0,9.999999999999998e-21,1.0,0.9628024753115353,0.037197524686871715,1.5931479682224237e-12,0.0
0.0,196.0,300.0,492.0,9.999999999999998e-21,1.0,0.9655940868237305,0.0344059131747509,1.518579241453666e-12,0.0
0.0,197.0,300.0,494.0,9.999999999999998e-21,1.0,0.9683037711600084,0.031696228838546454,1.4451427870688465e-12,0.0
0.0,198.0,300.0,496.0,9.999999999999998e-21,1.0,0.970927401952233,0.029072598046394064,1.3729038652867773e-12,0.0
0.0,199.0,300.0,498.0,9.999999999999998e-21,1.0,0.9734606748358512,0.026539325162847058,1.3019268601406726e-12,0.0
0.0,200.0,300.0,500.0,9.999999999999998e-21,1.0,0.9758991137141408,0.024100886284626796,1.2322963609157238e-12,0.0
0.0,201.0,300.0,502.0,9.999999999999998e-21,1.0,0.9782381044404505,0.021761895558385584,1.1640914599907393e-12,0.0
0.0,202.0,300.0,504.0,9.999999999999998e-21,1.0,0.9804729314284082,0.01952706857049458,1.0973795841600946e-12,0.0
0.0,203.0,300.0,506.0,9.999999999999998e-21,1.0,0.9825988140417208,0.017401185957247243,1.032265379437536e-12,0.0
0.0,204.0,300.0,508.0,9.999999999999998e-21,1.0,0.9846109701942015,0.015389029804829675,9.688456697656976e-13,0.0
0.0,205.0,300.0,510.0,9.999999999999998e-21,1.0,0.9865047197784698,0.01349528022062291,9.072116999177156e-13,0.0
