x_values, observed, sim_initial_guess, sim_MAP, sim_mu_AP
7.700000000000000178e+00,4.369800000000000073e-03,3.173085184150219347e-03,3.173085184150219347e-03,3.177506599446345940e-03
8.085000000000000853e+00,4.609799999999999835e-03,3.360302484702715371e-03,3.360302484702715371e-03,3.364696978657251945e-03
8.470000000000000639e+00,4.822399999999999257e-03,3.554260839838527773e-03,3.554260839838527773e-03,3.558625404155092795e-03
8.855000000000000426e+00,5.006800000000000486e-03,3.755165412655313111e-03,3.755165412655313111e-03,3.759496958572808127e-03
9.240000000000000213e+00,5.167499999999999351e-03,3.963222793436751816e-03,3.963222793436751816e-03,3.967518151716206178e-03
9.625000000000000000e+00,5.305300000000000640e-03,4.178640492527814498e-03,4.178640492527814498e-03,4.182896413571630251e-03
1.000999999999999979e+01,5.423199999999999549e-03,4.401626317937330606e-03,4.401626317937330606e-03,4.405839472116902800e-03
1.039499999999999957e+01,5.526500000000000162e-03,4.632387688304836701e-03,4.632387688304836701e-03,4.636554666438065520e-03
1.077999999999999936e+01,5.620499999999999628e-03,4.871130901718222217e-03,4.871130901718222217e-03,4.875248215705705462e-03
1.116499999999999915e+01,5.708399999999999759e-03,5.118060513063888914e-03,5.118060513063888914e-03,5.122124596645943190e-03
1.155000000000000071e+01,5.790199999999999687e-03,5.373378317047300574e-03,5.373378317047300574e-03,5.377385527018188789e-03
1.193500000000000050e+01,5.869499999999999718e-03,5.637282343753626662e-03,5.637282343753626662e-03,5.641228961224258910e-03
1.232000000000000028e+01,5.949100000000000568e-03,5.909965846208800611e-03,5.909965846208800611e-03,5.913848078099998018e-03
1.270500000000000007e+01,6.030300000000000590e-03,6.191616347605332152e-03,6.191616347605332152e-03,6.195430328362994815e-03
1.308999999999999986e+01,6.122299999999999791e-03,6.482414243433412895e-03,6.482414243433412895e-03,6.486156037244318606e-03
1.347499999999999964e+01,6.218500000000000069e-03,6.782531455533832507e-03,6.782531455533832507e-03,6.786197058638192281e-03
1.385999999999999943e+01,6.324800000000000214e-03,7.092130041504770416e-03,7.092130041504770416e-03,7.095715384741738303e-03
1.424499999999999922e+01,6.446999999999999606e-03,7.411360927137180914e-03,7.411360927137180914e-03,7.414861878791967169e-03
1.463000000000000078e+01,6.586399999999999200e-03,7.740362058151358492e-03,7.740362058151358492e-03,7.743774427418305753e-03
1.501500000000000057e+01,6.752900000000000048e-03,8.079256671082023222e-03,8.079256671082023222e-03,8.082576211575431824e-03
1.540000000000000036e+01,6.949299999999999401e-03,8.428151636260761137e-03,8.428151636260761137e-03,8.431374049785261143e-03
1.578500000000000014e+01,7.181199999999999563e-03,8.787135431629150562e-03,8.787135431629150562e-03,8.790256372678542304e-03
1.617000000000000171e+01,7.450599999999999931e-03,9.156276004015450817e-03,9.156276004015450817e-03,9.159291084387493481e-03
1.655499999999999972e+01,7.761100000000000811e-03,9.535618861011794026e-03,9.535618861011794026e-03,9.538523654303965316e-03
1.694000000000000128e+01,8.113500000000000920e-03,9.925184915304897937e-03,9.925184915304897937e-03,9.927974962783676569e-03
1.732499999999999929e+01,8.505099999999999813e-03,1.032496781870191442e-02,1.032496781870191442e-02,1.032763863490023838e-02
1.771000000000000085e+01,8.938500000000000265e-03,1.073493174885139546e-02,1.073493174885139546e-02,1.073747882720183303e-02
1.809499999999999886e+01,9.411799999999999680e-03,1.115500926464474060e-02,1.115500926464474060e-02,1.115742808408141419e-02
1.848000000000000043e+01,9.917299999999998686e-03,1.158509820106468080e-02,1.158509820106468080e-02,1.158738423293962511e-02
1.886499999999999844e+01,1.045289999999999934e-02,1.202505917571776613e-02,1.202505917571776613e-02,1.202720789043427128e-02
1.925000000000000000e+01,1.101489999999999934e-02,1.247471350608731107e-02,1.247471350608731107e-02,1.247672038018369026e-02
1.963500000000000156e+01,1.160439999999999909e-02,1.293383989514474731e-02,1.293383989514474731e-02,1.293570041948935261e-02
2.001999999999999957e+01,1.222339999999999885e-02,1.340217167525226821e-02,1.340217167525226821e-02,1.340388136251617797e-02
2.040500000000000114e+01,1.286760000000000161e-02,1.387939479644448998e-02,1.387939479644448998e-02,1.388094918828386946e-02
2.078999999999999915e+01,1.352640000000000092e-02,1.436514473283717619e-02,1.436514473283717619e-02,1.436653940915209350e-02
2.117500000000000071e+01,1.419779999999999827e-02,1.485900350074535400e-02,1.485900350074535400e-02,1.486023408767694898e-02
2.155999999999999872e+01,1.488210000000000054e-02,1.536049772341345661e-02,1.536049772341345661e-02,1.536155990018188075e-02
2.194500000000000028e+01,1.557779999999999929e-02,1.586909629619348214e-02,1.586909629619348214e-02,1.586998580496168029e-02
