x_values, observed, sim_initial_guess, sim_MAP, sim_mu_AP
6.544999999999999929e+00,3.521099999999999664e-03,2.681765914183985040e-03,2.681765914183985040e-03,2.684191123769289356e-03
6.929999999999999716e+00,3.817399999999999873e-03,2.884384193967417468e-03,2.884384193967417468e-03,2.886996846480627092e-03
7.315000000000000391e+00,4.102699999999999923e-03,3.093054059109248775e-03,3.093054059109248775e-03,3.095863230152253939e-03
7.700000000000000178e+00,4.369800000000000073e-03,3.307894967209779307e-03,3.307894967209779307e-03,3.310909994019349805e-03
8.085000000000000853e+00,4.609799999999999835e-03,3.529024491776582527e-03,3.529024491776582527e-03,3.532254968739636982e-03
8.470000000000000639e+00,4.822399999999999257e-03,3.756557926112316821e-03,3.756557926112316821e-03,3.760013699538849140e-03
8.855000000000000426e+00,5.006800000000000486e-03,3.990607857342552169e-03,3.990607857342552169e-03,3.994299018674856566e-03
9.240000000000000213e+00,5.167499999999999351e-03,4.231283705349497305e-03,4.231283705349497305e-03,4.235220582815242725e-03
9.625000000000000000e+00,5.305300000000000640e-03,4.478691392788692986e-03,4.478691392788692986e-03,4.482884541982310941e-03
1.000999999999999979e+01,5.423199999999999549e-03,4.732932746185153187e-03,4.732932746185153187e-03,4.737392938987975040e-03
1.039499999999999957e+01,5.526500000000000162e-03,4.994104851608664741e-03,4.994104851608664741e-03,4.998843062471349484e-03
1.077999999999999936e+01,5.620499999999999628e-03,5.262299539826985860e-03,5.262299539826985860e-03,5.267326930307012108e-03
1.116499999999999915e+01,5.708399999999999759e-03,5.537602955034302485e-03,5.537602955034302485e-03,5.542930856538918517e-03
1.155000000000000071e+01,5.790199999999999687e-03,5.820094658812250028e-03,5.820094658812250028e-03,5.825734552602521849e-03
1.193500000000000050e+01,5.869499999999999718e-03,6.109846950054531080e-03,6.109846950054531080e-03,6.115810444646216718e-03
1.232000000000000028e+01,5.949100000000000568e-03,6.406924301159892636e-03,6.406924301159892636e-03,6.413223107687192510e-03
1.270500000000000007e+01,6.030300000000000590e-03,6.711382783179169198e-03,6.711382783179169198e-03,6.718028688568433195e-03
1.308999999999999986e+01,6.122299999999999791e-03,7.023268879327170151e-03,7.023268879327170151e-03,7.030273715402808252e-03
1.347499999999999964e+01,6.218500000000000069e-03,7.342618920338411792e-03,7.342618920338411792e-03,7.349994531120372827e-03
1.385999999999999943e+01,6.324800000000000214e-03,7.669458219656399497e-03,7.669458219656399497e-03,7.677216423697815276e-03
1.424499999999999922e+01,6.446999999999999606e-03,8.003799903137234079e-03,8.003799903137234079e-03,8.011952453425131779e-03
1.463000000000000078e+01,6.586399999999999200e-03,8.345644409674097750e-03,8.345644409674097750e-03,8.354202952476422195e-03
