x_values, observed, sim_initial_guess, sim_MAP, sim_mu_AP
1.771000000000000085e+01,7.464318400000000131e-02,1.994636447632888998e-01,8.616161540628886062e-02,9.675662302758197830e-02
1.809499999999999886e+01,7.808450649999998383e-02,2.050508151049358629e-01,9.013164499023684773e-02,1.008232214254867337e-01
1.848000000000000043e+01,8.170804950000000455e-02,2.106865036672964375e-01,9.423871323504386111e-02,1.050090429436684597e-01
1.886499999999999844e+01,8.552620999999999141e-02,2.163700391049587779e-01,9.848625731939052164e-02,1.093164444448659622e-01
1.925000000000000000e+01,8.955057650000000646e-02,2.221007146785394237e-01,1.028777029969496770e-01,1.137477573729886032e-01
1.963500000000000156e+01,9.379131300000002891e-02,2.278777879367962222e-01,1.074164552631019093e-01,1.183052816996313095e-01
2.001999999999999957e+01,9.825900700000000931e-02,2.337004804577387795e-01,1.121058882882795399e-01,1.229912797471268693e-01
2.040500000000000114e+01,1.029650160000000342e-01,2.395679776073246781e-01,1.169493347205851630e-01,1.278079695682808603e-01
2.078999999999999915e+01,1.079190420000000067e-01,2.454794283311048653e-01,1.219500741314632764e-01,1.327575178605512607e-01
2.117500000000000071e+01,1.131267060000000213e-01,2.514339449698797524e-01,1.271113205983927519e-01,1.378420328235021308e-01
2.155999999999999872e+01,1.185928589999999949e-01,2.574306030733661266e-01,1.324362095872252121e-01,1.430635563057394422e-01
2.194500000000000028e+01,1.243224675000000196e-01,2.634684413076939791e-01,1.379277840341725792e-01,1.484240557764996693e-01
2.232999999999999829e+01,1.303199204999999916e-01,2.695464613848159163e-01,1.435889794154311117e-01,1.539254160436406837e-01
2.271499999999999986e+01,1.365864885000000195e-01,2.756636280289304630e-01,1.494226080579708349e-01,1.595694302246564722e-01
2.310000000000000142e+01,1.431219790000000380e-01,2.818188689816160664e-01,1.554313427721885632e-01,1.653577908137681129e-01
2.348499999999999943e+01,1.499266230000000089e-01,2.880110749898042721e-01,1.616176993737668821e-01,1.712920801563096729e-01
2.387000000000000099e+01,1.570034620000000380e-01,2.942390998938655411e-01,1.679840184226674138e-01,1.773737606508172526e-01
2.425499999999999901e+01,1.643527270000000040e-01,3.005017607667618273e-01,1.745324463984313512e-01,1.836041645428104219e-01
2.464000000000000057e+01,1.719747260000000222e-01,3.067978380866063226e-01,1.812649158354576739e-01,1.899844834819179595e-01
2.502499999999999858e+01,1.798649159999999858e-01,3.131260759582314424e-01,1.881831246692684534e-01,1.965157577999080973e-01
2.541000000000000014e+01,1.880189465000000060e-01,3.194851823296436799e-01,1.952885151259290408e-01,2.031988654005719985e-01
2.579500000000000171e+01,1.964290020000000470e-01,3.258738292600162345e-01,2.025822518502272962e-01,2.100345105997679096e-01
