dist(m),time(s),Acetaldehyde,CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,6.300000000000000000e+01,7.699224329396006293e-17,7.699224329396006293e-17,-7.699224329396030944e-17,2.398407203361265436e-31,0.000000000000000000e+00
0.000000000000000000e+00,6.400000000000000000e+01,1.777995956281733582e-17,1.777995956281733582e-17,-1.777995956281736663e-17,2.829085764011015791e-32,0.000000000000000000e+00
0.000000000000000000e+00,6.500000000000000000e+01,3.718068402180182567e-18,3.718068402180182567e-18,-3.718068402182989032e-18,2.806596018011987655e-30,0.000000000000000000e+00
0.000000000000000000e+00,6.600000000000000000e+01,7.006969327047500105e-19,7.006969327047500105e-19,-7.006969327240152803e-19,1.926520738444004328e-29,0.000000000000000000e+00
0.000000000000000000e+00,6.700000000000000000e+01,1.156663232166923380e-19,1.156663232166923380e-19,-1.156663232152982536e-19,-1.394097931939622145e-30,0.000000000000000000e+00
0.000000000000000000e+00,6.800000000000000000e+01,1.724790169890109197e-20,1.724790169890109197e-20,-1.724786277071502601e-20,-3.892818606370433001e-26,0.000000000000000000e+00
0.000000000000000000e+00,6.900000000000000000e+01,2.121411955705592917e-21,2.121411955705592917e-21,-2.121430867904798558e-21,1.891219920639386974e-26,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+01,3.392699080860252751e-22,3.392699080860252751e-22,-3.392542110742965392e-22,-1.569701172873594672e-26,0.000000000000000000e+00
0.000000000000000000e+00,7.100000000000000000e+01,1.304296375879953590e-22,1.304296375879953590e-22,-1.304285187474625716e-22,-1.118840532787457810e-27,0.000000000000000000e+00
0.000000000000000000e+00,7.200000000000000000e+01,9.169385180901041756e-23,9.169385180901041756e-23,-9.167423953597173091e-23,-1.961227303943896817e-26,0.000000000000000000e+00
0.000000000000000000e+00,7.300000000000000000e+01,8.020148867213150932e-23,8.020148867213150932e-23,-8.018030536797654914e-23,-2.118330415496017922e-26,0.000000000000000000e+00
