dist(m), time(s),Acetaldehyde
0.000000000000000000e+00,1.310000000000000000e+02,3.647970350682126709e-24
0.000000000000000000e+00,1.320000000000000000e+02,3.439062447420561058e-24
0.000000000000000000e+00,1.330000000000000000e+02,3.242541315178121759e-24
0.000000000000000000e+00,1.340000000000000000e+02,3.057651648560110779e-24
0.000000000000000000e+00,1.350000000000000000e+02,2.883698358784972314e-24
0.000000000000000000e+00,1.360000000000000000e+02,2.720009422697286352e-24
0.000000000000000000e+00,1.370000000000000000e+02,2.565971324991487542e-24
0.000000000000000000e+00,1.380000000000000000e+02,2.420997232899628211e-24
0.000000000000000000e+00,1.390000000000000000e+02,2.284543121373866221e-24
0.000000000000000000e+00,1.400000000000000000e+02,2.156084692940622952e-24
0.000000000000000000e+00,1.410000000000000000e+02,2.035157414224165992e-24
0.000000000000000000e+00,1.420000000000000000e+02,1.921293791119668682e-24
0.000000000000000000e+00,1.430000000000000000e+02,1.814087666734775471e-24
0.000000000000000000e+00,1.440000000000000000e+02,1.713114297860804079e-24
0.000000000000000000e+00,1.450000000000000000e+02,1.618016897895678803e-24
0.000000000000000000e+00,1.460000000000000000e+02,1.528438263481130298e-24
0.000000000000000000e+00,1.470000000000000000e+02,1.444049024088258839e-24
0.000000000000000000e+00,1.480000000000000000e+02,1.364542521908703040e-24
0.000000000000000000e+00,1.490000000000000000e+02,1.289611358508713605e-24
0.000000000000000000e+00,1.500000000000000000e+02,1.219000471478323913e-24
0.000000000000000000e+00,1.510000000000000000e+02,1.152448444842921716e-24
0.000000000000000000e+00,1.520000000000000000e+02,1.089709365289639286e-24
0.000000000000000000e+00,1.530000000000000000e+02,1.030558456752258148e-24
0.000000000000000000e+00,1.540000000000000000e+02,9.747911126795602758e-25
0.000000000000000000e+00,1.550000000000000000e+02,9.221964438599966240e-25
0.000000000000000000e+00,1.560000000000000000e+02,8.725855408778790869e-25
0.000000000000000000e+00,1.570000000000000000e+02,8.257871556578422454e-25
0.000000000000000000e+00,1.580000000000000000e+02,7.816391991251124573e-25
0.000000000000000000e+00,1.590000000000000000e+02,7.399802508155703984e-25
0.000000000000000000e+00,1.600000000000000000e+02,7.006677959517657656e-25
0.000000000000000000e+00,1.610000000000000000e+02,6.635631086502649106e-25
0.000000000000000000e+00,1.620000000000000000e+02,6.285337931410734763e-25
0.000000000000000000e+00,1.630000000000000000e+02,5.954648360807433930e-25
0.000000000000000000e+00,1.640000000000000000e+02,5.642340716403010464e-25
0.000000000000000000e+00,1.650000000000000000e+02,5.347389860445084005e-25
0.000000000000000000e+00,1.660000000000000000e+02,5.068784411286365255e-25
0.000000000000000000e+00,1.670000000000000000e+02,4.805609400777028400e-25
0.000000000000000000e+00,1.680000000000000000e+02,4.556936699262934236e-25
0.000000000000000000e+00,1.690000000000000000e+02,4.321909164610744521e-25
0.000000000000000000e+00,1.700000000000000000e+02,4.099829847732012653e-25
0.000000000000000000e+00,1.710000000000000000e+02,3.889817673232815387e-25
0.000000000000000000e+00,1.720000000000000000e+02,3.691284180621438428e-25
0.000000000000000000e+00,1.730000000000000000e+02,3.503578788445533301e-25
0.000000000000000000e+00,1.740000000000000000e+02,3.325984899279360769e-25
0.000000000000000000e+00,1.750000000000000000e+02,3.158031428913149700e-25
0.000000000000000000e+00,1.760000000000000000e+02,2.999145580082311635e-25
0.000000000000000000e+00,1.770000000000000000e+02,2.848751220473632854e-25
0.000000000000000000e+00,1.780000000000000000e+02,2.706440450342510226e-25
0.000000000000000000e+00,1.790000000000000000e+02,2.571665064021962065e-25
0.000000000000000000e+00,1.800000000000000000e+02,2.444174821823195490e-25
0.000000000000000000e+00,1.810000000000000000e+02,2.323373478525290372e-25
0.000000000000000000e+00,1.820000000000000000e+02,2.208990176276063571e-25
0.000000000000000000e+00,1.830000000000000000e+02,2.100611398296043841e-25
0.000000000000000000e+00,1.840000000000000000e+02,1.998009826351671425e-25
0.000000000000000000e+00,1.850000000000000000e+02,1.900714055866766008e-25
0.000000000000000000e+00,1.860000000000000000e+02,1.808532378811698312e-25
0.000000000000000000e+00,1.870000000000000000e+02,1.721163415437267792e-25
0.000000000000000000e+00,1.880000000000000000e+02,1.638318904586460720e-25
0.000000000000000000e+00,1.890000000000000000e+02,1.559792588310400458e-25
0.000000000000000000e+00,1.900000000000000000e+02,1.485295303815932751e-25
0.000000000000000000e+00,1.910000000000000000e+02,1.414647749191906334e-25
0.000000000000000000e+00,1.920000000000000000e+02,1.347620041347558015e-25
0.000000000000000000e+00,1.930000000000000000e+02,1.283961839422587524e-25
0.000000000000000000e+00,1.940000000000000000e+02,1.223561504721097266e-25
